model|product|features|dependencies|variables|relations|start|end|result
model-100-10-1.xml|10-0|100|10|100|80|1500192111096|1500192114381|[U_F97]
model-100-10-1.xml|10-1|100|10|100|80|1500192111093|1500192115267|[U_F56]
model-100-10-1.xml|10-2|100|10|100|80|1500192115251|1500192118683|[U_F99]
model-100-10-1.xml|10-3|100|10|100|80|1500192115834|1500192119386|[U_F87]
model-100-10-1.xml|10-4|100|10|100|80|1500192119524|1500192123041|[U_F87]
model-100-10-1.xml|10-5|100|10|100|80|1500192119899|1500192123632|[U_F99]
model-100-10-1.xml|10-6|100|10|100|80|1500192123948|1500192127953|[U_F56]
model-100-10-1.xml|10-7|100|10|100|80|1500192124190|1500192128141|[U_F56]
model-100-10-1.xml|10-9|100|10|100|80|1500192128600|1500192132260|[U_F78]
model-100-10-1.xml|10-8|100|10|100|80|1500192128595|1500192132652|[U_F52]
model-100-10-1.xml|30-0|100|10|100|80|1500192133042|1500192136498|[U_F86]
model-100-10-1.xml|30-1|100|10|100|80|1500192133162|1500192136745|[U_F52]
model-100-10-1.xml|30-2|100|10|100|80|1500192137128|1500192140659|[U_F55]
model-100-10-1.xml|30-3|100|10|100|80|1500192137261|1500192140939|[U_F73]
model-100-10-1.xml|30-4|100|10|100|80|1500192141332|1500192145098|[U_F7, U_F50]
model-100-10-1.xml|30-5|100|10|100|80|1500192141469|1500192145302|[U_F52]
model-100-10-1.xml|30-6|100|10|100|80|1500192145739|1500192149280|[U_F73]
model-100-10-1.xml|30-7|100|10|100|80|1500192145761|1500192149553|[U_F56]
model-100-10-1.xml|30-9|100|10|100|80|1500192150051|1500192153203|[U_F82]
model-100-10-1.xml|30-8|100|10|100|80|1500192149925|1500192153548|[U_F14, U_F11]
model-100-10-1.xml|50-0|100|10|100|80|1500192153913|1500192158176|[U_F63, U_F1]
model-100-10-1.xml|50-1|100|10|100|80|1500192154210|1500192158228|[U_F55, U_F1, U_F3]
model-100-10-1.xml|50-2|100|10|100|80|1500192158674|1500192162170|[U_root, U_F51, U_F96]
model-100-10-1.xml|50-3|100|10|100|80|1500192158718|1500192162330|[U_F96, U_F14]
model-100-10-1.xml|50-4|100|10|100|80|1500192162792|1500192166568|[U_F63, U_F89, U_F94]
model-100-10-1.xml|50-5|100|10|100|80|1500192162891|1500192166656|[U_F35, U_F71]
model-100-10-1.xml|50-7|100|10|100|80|1500192167198|1500192170762|[U_F74, U_F11]
model-100-10-1.xml|50-6|100|10|100|80|1500192167152|1500192171014|[U_F59]
model-100-10-1.xml|50-8|100|10|100|80|1500192171389|1500192175132|[U_F89, U_F93, U_F70]
model-100-10-1.xml|50-9|100|10|100|80|1500192171575|1500192175319|[U_F55, U_F94]
model-100-100-1.xml|10-0|100|100|100|170|1500192175816|1500192180585|[U_F40]
model-100-100-1.xml|10-1|100|100|100|170|1500192175982|1500192181397|[U_F99]
model-100-100-1.xml|10-2|100|100|100|170|1500192181584|1500192186409|[U_F43]
model-100-100-1.xml|10-3|100|100|100|170|1500192181926|1500192186512|[U_F48]
model-100-100-1.xml|10-4|100|100|100|170|1500192187052|1500192191499|[U_F48]
model-100-100-1.xml|10-5|100|100|100|170|1500192187157|1500192191928|[U_F48]
model-100-100-1.xml|10-6|100|100|100|170|1500192192318|1500192196412|[U_F77]
model-100-100-1.xml|10-7|100|100|100|170|1500192192559|1500192197542|[U_F75]
model-100-100-1.xml|10-8|100|100|100|170|1500192197619|1500192202146|[U_F99]
model-100-100-1.xml|10-9|100|100|100|170|1500192198345|1500192202509|[U_F77]
model-100-100-1.xml|30-0|100|100|100|170|1500192202927|1500192207732|[U_F42]
model-100-100-1.xml|30-1|100|100|100|170|1500192203171|1500192207936|[U_F78]
model-100-100-1.xml|30-2|100|100|100|170|1500192208423|1500192212936|[U_F52]
model-100-100-1.xml|30-3|100|100|100|170|1500192208582|1500192213396|[U_F17, U_F94]
model-100-100-1.xml|30-5|100|100|100|170|1500192214136|1500192218312|[U_F33]
model-100-100-1.xml|30-4|100|100|100|170|1500192213790|1500192218890|[U_F52, U_F77]
model-100-100-1.xml|30-6|100|100|100|170|1500192219028|1500192223164|[U_F77]
model-100-100-1.xml|30-7|100|100|100|170|1500192219639|1500192224216|[U_F17]
model-100-100-1.xml|30-8|100|100|100|170|1500192224304|1500192228698|[U_F42, U_F81]
model-100-100-1.xml|30-9|100|100|100|170|1500192224905|1500192229498|[U_F42, U_F77]
model-100-100-1.xml|50-1|100|100|100|170|1500192230197|1500192234409|[U_F5, U_F65]
model-100-100-1.xml|50-0|100|100|100|170|1500192229603|1500192234618|[U_F33, U_F59, U_F80]
model-100-100-1.xml|50-2|100|100|100|170|1500192235094|1500192239634|[U_F24]
model-100-100-1.xml|50-3|100|100|100|170|1500192235259|1500192240050|[U_F84]
model-100-100-1.xml|50-5|100|100|100|170|1500192240767|1500192245425|[U_F47, U_F99]
model-100-100-1.xml|50-4|100|100|100|170|1500192240405|1500192245421|[U_F87, U_F68]
model-100-100-1.xml|50-6|100|100|100|170|1500192245951|1500192250860|[U_F99, U_F59]
model-100-100-1.xml|50-7|100|100|100|170|1500192246098|1500192251003|[U_F23, U_F39, U_F3]
model-100-100-1.xml|50-8|100|100|100|170|1500192251478|1500192255982|[U_F86, U_F76, U_F87]
model-100-100-1.xml|50-9|100|100|100|170|1500192251660|1500192256360|[U_F44]
model-100-30-1.xml|10-0|100|30|100|103|1500192256807|1500192260763|[U_F51, U_F39]
model-100-30-1.xml|10-1|100|30|100|103|1500192256856|1500192261280|[U_F63]
model-100-30-1.xml|10-2|100|30|100|103|1500192261447|1500192265230|[U_F63]
model-100-30-1.xml|10-3|100|30|100|103|1500192261861|1500192265995|[U_F63]
model-100-30-1.xml|10-4|100|30|100|103|1500192266090|1500192269969|[U_F63]
model-100-30-1.xml|10-5|100|30|100|103|1500192266658|1500192270388|[U_F63, U_F46]
model-100-30-1.xml|10-6|100|30|100|103|1500192270725|1500192275000|[U_F63]
model-100-30-1.xml|10-7|100|30|100|103|1500192271023|1500192275121|[U_F63]
model-100-30-1.xml|10-9|100|30|100|103|1500192275691|1500192279824|[U_F63]
model-100-30-1.xml|10-8|100|30|100|103|1500192275620|1500192280190|[U_F63]
model-100-30-1.xml|30-1|100|30|100|103|1500192280713|1500192284811|[U_F54, U_F85, U_F69, U_F67, U_F90]
model-100-30-1.xml|30-0|100|30|100|103|1500192280571|1500192284965|[U_F10, U_F85, U_F67]
model-100-30-1.xml|30-2|100|30|100|103|1500192285421|1500192289492|[U_F55, U_F39]
model-100-30-1.xml|30-3|100|30|100|103|1500192285460|1500192289716|[U_F6]
model-100-30-1.xml|30-5|100|30|100|103|1500192290321|1500192294245|[U_F65, U_F39]
