"model"|"product"|"m"|"features"|"dependencies"|"variables"|"relations"|"start"|"end"|"result"|"time"|"resultSize"|"min"|"minSize"|"union"|"accuracy"|"minimality"
"tiny.xml"|"10-0"|4|4|2|4|4|1501527160883|1501527160883|""|0|1|""|1|""|1|1
"tiny.xml"|"10-0"|6|4|2|4|4|1501527160944|1501527160945|""|1|1|""|1|""|1|1
"tiny.xml"|"10-0"|2|4|2|4|4|1501527161010|1501527161011|""|1|1|""|1|""|1|1
"tiny.xml"|"10-0"|1|4|2|4|4|1501527161015|1501527161015|""|0|1|""|1|""|1|1
"tiny.xml"|"10-0"|10|4|2|4|4|1501527161314|1501527161314|""|0|1|""|1|""|1|1
"tiny.xml"|"10-1"|1|4|2|4|4|1501527161337|1501527161337|""|0|1|""|1|""|1|1
"tiny.xml"|"10-1"|2|4|2|4|4|1501527161374|1501527161375|""|1|1|""|1|""|1|1
"tiny.xml"|"10-1"|4|4|2|4|4|1501527161378|1501527161378|""|0|1|""|1|""|1|1
"tiny.xml"|"10-1"|6|4|2|4|4|1501527161663|1501527161663|""|0|1|""|1|""|1|1
"tiny.xml"|"10-1"|10|4|2|4|4|1501527161695|1501527161695|""|0|1|""|1|""|1|1
"tiny.xml"|"10-2"|1|4|2|4|4|1501527161716|1501527161716|""|0|1|""|1|""|1|1
"tiny.xml"|"10-2"|2|4|2|4|4|1501527161796|1501527161796|""|0|1|""|1|""|1|1
"tiny.xml"|"10-2"|4|4|2|4|4|1501527162015|1501527162016|""|1|1|""|1|""|1|1
"tiny.xml"|"10-2"|6|4|2|4|4|1501527162066|1501527162066|""|0|1|""|1|""|1|1
"tiny.xml"|"10-2"|10|4|2|4|4|1501527162104|1501527162104|""|0|1|""|1|""|1|1
"tiny.xml"|"10-3"|1|4|2|4|4|1501527162163|1501527162163|""|0|1|""|1|""|1|1
"tiny.xml"|"10-3"|2|4|2|4|4|1501527162346|1501527162346|""|0|1|""|1|""|1|1
"tiny.xml"|"10-3"|4|4|2|4|4|1501527162430|1501527162430|""|0|1|""|1|""|1|1
"tiny.xml"|"10-3"|6|4|2|4|4|1501527162462|1501527162462|""|0|1|""|1|""|1|1
"tiny.xml"|"10-3"|10|4|2|4|4|1501527162564|1501527162565|""|1|1|""|1|""|1|1
"tiny.xml"|"10-4"|1|4|2|4|4|1501527162750|1501527162751|""|1|1|""|1|""|1|1
"tiny.xml"|"10-4"|2|4|2|4|4|1501527162807|1501527162807|""|0|1|""|1|""|1|1
"tiny.xml"|"10-4"|4|4|2|4|4|1501527162822|1501527162822|""|0|1|""|1|""|1|1
"tiny.xml"|"10-4"|6|4|2|4|4|1501527162911|1501527162912|""|1|1|""|1|""|1|1
"tiny.xml"|"10-4"|10|4|2|4|4|1501527163148|1501527163149|""|1|1|""|1|""|1|1
"tiny.xml"|"10-5"|2|4|2|4|4|1501527163185|1501527163186|""|1|1|""|1|""|1|1
"tiny.xml"|"10-5"|1|4|2|4|4|1501527163189|1501527163189|""|0|1|""|1|""|1|1
"tiny.xml"|"10-5"|4|4|2|4|4|1501527163271|1501527163271|""|0|1|""|1|""|1|1
"tiny.xml"|"10-5"|6|4|2|4|4|1501527163502|1501527163502|""|0|1|""|1|""|1|1
"tiny.xml"|"10-5"|10|4|2|4|4|1501527163543|1501527163543|""|0|1|""|1|""|1|1
