"model","variables","dependencies","m","time.mean","minimality.mean","accuracy.mean"
"aircraft_fm.xml",13,0,1,148.933333333333,1,1
"aircraft_fm.xml",13,0,2,136,0.666666666666667,1
"aircraft_fm.xml",13,0,4,127.833333333333,0.555555555555556,1
"aircraft_fm.xml",13,0,6,126.066666666667,0.5,1
"aircraft_fm.xml",13,0,10,124,0.5,1
"arcade_game_pl_fm.xml",61,34,1,793.833333333333,1,1
"arcade_game_pl_fm.xml",61,34,2,782.766666666667,0.5,1
"arcade_game_pl_fm.xml",61,34,4,639.333333333333,0.305555555555556,1
"arcade_game_pl_fm.xml",61,34,6,510.333333333333,0.205555555555556,1
"arcade_game_pl_fm.xml",61,34,10,427.033333333333,0.134259259259259,1
"car_fm.xml",14,1,1,139.666666666667,1,1
"car_fm.xml",14,1,2,122.233333333333,0.666666666666667,1
"car_fm.xml",14,1,4,120.866666666667,0.583333333333333,1
"car_fm.xml",14,1,6,115.533333333333,0.583333333333333,1
"car_fm.xml",14,1,10,116.533333333333,0.511904761904762,1
"cfdp_library_fm.xml",13,5,1,134.533333333333,1,1
"cfdp_library_fm.xml",13,5,2,129.966666666667,0.666666666666667,1
"cfdp_library_fm.xml",13,5,4,121.733333333333,0.555555555555556,1
"cfdp_library_fm.xml",13,5,6,120.333333333333,0.5,1
"cfdp_library_fm.xml",13,5,10,116.7,0.5,1
"connector_fm.xml",20,0,1,161.6,1,1
"connector_fm.xml",20,0,2,147.4,0.533333333333333,1
"connector_fm.xml",20,0,4,153.066666666667,0.477777777777778,1
"connector_fm.xml",20,0,6,132.166666666667,0.422222222222222,1
"connector_fm.xml",20,0,10,125.833333333333,0.322222222222222,1
"DELL-LAPTOP-NOTEBOOK-FM.xml",47,105,1,585.233333333333,1,1
"DELL-LAPTOP-NOTEBOOK-FM.xml",47,105,2,492.666666666667,0.691210317460317,0.978388278388278
"DELL-LAPTOP-NOTEBOOK-FM.xml",47,105,4,304.6,0.576666666666667,0.942124542124542
"DELL-LAPTOP-NOTEBOOK-FM.xml",47,105,6,269.366666666667,0.557407407407407,0.952380952380952
"DELL-LAPTOP-NOTEBOOK-FM.xml",47,105,10,244.7,0.490740740740741,1
"fame_dbms_fm.xml",21,0,1,146.6,1,1
"fame_dbms_fm.xml",21,0,2,138.9,0.5,1
"fame_dbms_fm.xml",21,0,4,130.766666666667,0.388888888888889,1
"fame_dbms_fm.xml",21,0,6,125.833333333333,0.288888888888889,1
"fame_dbms_fm.xml",21,0,10,119.633333333333,0.255555555555556,1
"model_20090801_1908323193.xml",13,0,1,129.366666666667,1,1
"model_20090801_1908323193.xml",13,0,2,123.233333333333,0.666666666666667,1
"model_20090801_1908323193.xml",13,0,4,118.233333333333,0.555555555555556,1
"model_20090801_1908323193.xml",13,0,6,120.766666666667,0.5,1
"model_20090801_1908323193.xml",13,0,10,116.6,0.5,1
"model_20091009_1552375070.xml",37,6,1,185.8,1,1
"model_20091009_1552375070.xml",37,6,2,169.2,0.5,1
"model_20091009_1552375070.xml",37,6,4,159,0.333333333333333,1
"model_20091009_1552375070.xml",37,6,6,154.466666666667,0.233333333333333,1
"model_20091009_1552375070.xml",37,6,10,144.2,0.203703703703704,1
"model_20091015_449909368.xml",10,1,1,128.4,1,1
"model_20091015_449909368.xml",10,1,2,123.633333333333,0.666666666666667,1
"model_20091015_449909368.xml",10,1,4,124.1,0.555555555555556,1
"model_20091015_449909368.xml",10,1,6,117.633333333333,0.511111111111111,1
"model_20091015_449909368.xml",10,1,10,116.3,0.511111111111111,1
"model_20091109_376438407.xml",22,0,1,142.2,1,1
"model_20091109_376438407.xml",22,0,2,137.9,0.5,1
"model_20091109_376438407.xml",22,0,4,129.566666666667,0.388888888888889,1
"model_20091109_376438407.xml",22,0,6,129.8,0.277777777777778,1
"model_20091109_376438407.xml",22,0,10,128.1,0.277777777777778,1
"model_20091129_1734444143.xml",12,1,1,129.6,1,1
"model_20091129_1734444143.xml",12,1,2,126.866666666667,0.666666666666667,1
"model_20091129_1734444143.xml",12,1,4,122.733333333333,0.555555555555556,1
"model_20091129_1734444143.xml",12,1,6,117.9,0.5,1
"model_20091129_1734444143.xml",12,1,10,113.666666666667,0.5,1
"model_20091205_755658379.xml",94,2,1,569.133333333333,1,1
"model_20091205_755658379.xml",94,2,2,492.8,0.58926761347814,0.948717948717949
"model_20091205_755658379.xml",94,2,4,356.2,0.460353156754956,0.818589743589744
"model_20091205_755658379.xml",94,2,6,280.9,0.395206206420599,0.782692307692308
"model_20091205_755658379.xml",94,2,10,238.766666666667,0.314782925997319,0.866025641025641
"model_20091206_1647557456.xml",10,0,1,122.266666666667,1,1
"model_20091206_1647557456.xml",10,0,2,121.033333333333,0.666666666666667,1
"model_20091206_1647557456.xml",10,0,4,117.5,0.555555555555556,1
"model_20091206_1647557456.xml",10,0,6,114.833333333333,0.511111111111111,1
"model_20091206_1647557456.xml",10,0,10,115.833333333333,0.511111111111111,1
"model_20091210_241985787.xml",16,0,1,123.533333333333,1,1
"model_20091210_241985787.xml",16,0,2,124.333333333333,0.666666666666667,1
"model_20091210_241985787.xml",16,0,4,120.566666666667,0.5,1
"model_20091210_241985787.xml",16,0,6,116.933333333333,0.5,1
"model_20091210_241985787.xml",16,0,10,119.3,0.458333333333333,1
"model_20091210_993249741.xml",29,0,1,149.366666666667,1,1
"model_20091210_993249741.xml",29,0,2,137.033333333333,0.5,1
"model_20091210_993249741.xml",29,0,4,130.533333333333,0.333333333333333,1
"model_20091210_993249741.xml",29,0,6,136.066666666667,0.333333333333333,1
"model_20091210_993249741.xml",29,0,10,125.866666666667,0.255952380952381,1
"model_20091219_494647199.xml",11,0,1,123.333333333333,1,1
"model_20091219_494647199.xml",11,0,2,119.666666666667,0.666666666666667,1
"model_20091219_494647199.xml",11,0,4,119.733333333333,0.555555555555556,1
"model_20091219_494647199.xml",11,0,6,115.6,0.511111111111111,1
"model_20091219_494647199.xml",11,0,10,118.633333333333,0.511111111111111,1
